CustomerID,TotalItemsPurchased,DistinctItemsPurchased,MaxItemsSingleSession,AvgItemsPerSession,ProductEntropy,SessionEntropy,TotalAmountSpent,MaxAmountSingleSession,AvgAmountPerSession,TotalShoppingSessions
17809.0,313,28,204,62.6,4.807354922057602,1.7420625893494752,741.05,560.4,148.20999999999998,28
16098.0,435,24,112,62.142857142857146,4.30524537369136,2.728076663979239,1107.51,293.14,158.21571428571428,54
18074.0,52,8,52,52.0,3.0,0.0,185.3,185.3,185.3,8
17420.0,256,23,112,85.33333333333333,4.4838561897747224,1.4986885704510973,485.08,215.76,161.69333333333336,25
16250.0,206,21,106,103.0,4.349648912578752,0.9876925088958034,373.54,210.24,186.77,23
12431.0,1719,141,268,122.78571428571429,6.981886388444885,3.5683979182782086,3806.05,506.4,271.8607142857143,191
13705.0,330,24,134,110.0,4.5465935642949376,1.5430224942057837,492.78000000000003,204.54,164.26,26
17924.0,213,13,156,53.25,3.7004397181410926,1.4885252948977485,662.4300000000001,500.28000000000003,165.60750000000002,13
13448.0,1451,121,452,241.83333333333334,6.777215818852945,2.04681521123577,2953.8,900.48,492.3,171
15862.0,382,129,117,95.5,6.985828835964023,1.7629066545151115,657.29,280.88,164.3225,134
16218.0,808,49,402,161.6,5.563177895342839,1.9630394323636784,1164.72,440.7,232.94400000000002,55
14307.0,1804,136,452,300.6666666666667,6.9833553951502,2.3680153692585284,2682.61,691.01,447.1016666666667,166
17908.0,140,49,140,140.0,5.570538035407182,0.0,218.2,218.2,218.2,52
12838.0,345,109,222,172.5,6.738548895724723,1.0,575.3000000000001,339.79,287.65000000000003,114
13255.0,91,8,61,45.5,3.0,0.9544340029249649,189.61,133.51000000000002,94.805,8
16583.0,111,14,111,111.0,3.8073549220576055,0.0,233.45,233.45,233.45,14
18085.0,265,25,187,132.5,4.582118926162054,0.8935711016541907,689.95,386.05,344.975,29
13758.0,878,83,278,125.42857142857143,6.331970464374525,2.487377618042429,1955.39,538.51,279.34142857142854,91
15983.0,662,78,241,165.5,6.171747614477853,1.9865935215372943,1119.91,337.65,279.9775,103
17968.0,150,73,150,150.0,6.146928094887358,0.0,257.15,257.15,257.15,80
16210.0,772,52,164,55.142857142857146,5.581954882778696,3.5001560030802024,1664.8,229.86,118.91428571428571,64
17897.0,205,91,75,68.33333333333333,6.460115332178977,1.5831950326665196,355.06,141.93,118.35333333333334,99
16552.0,105,11,68,52.5,3.459431618637298,0.9456603046006402,189.19000000000003,119.4,94.595,11
17951.0,156,10,132,52.0,3.321928094887362,1.1567796494470395,190.68,130.08,63.56,10
14729.0,195,67,195,195.0,6.05055344228541,0.0,290.79,290.79,290.79,69
15012.0,219,106,138,109.5,6.679059551143389,0.9825606664869174,343.19,185.83,171.59500000000003,116
12868.0,921,68,274,153.5,5.890004410510336,2.5093358078194927,1534.71,412.02000000000004,255.785,103
17572.0,93,6,30,23.25,2.481714572986073,1.9362600275315274,206.85000000000002,70.80000000000001,51.712500000000006,11
14078.0,297,44,73,49.5,5.246546262307403,2.5513686497893993,936.7199999999999,243.92999999999998,156.12,62
12662.0,1936,120,284,176.0,6.633475605392302,3.357707355327376,3256.73,425.88,296.06636363636363,206
15525.0,370,122,158,123.33333333333333,6.86088610949054,1.5371542762505523,562.52,193.76,187.50666666666666,143
14237.0,31,5,31,31.0,2.321928094887362,0.0,77.45,77.45,77.45,5
17905.0,177,26,70,59.0,4.700439718141092,1.198183947911799,338.59000000000003,149.35,112.86333333333333,26
15485.0,908,46,489,302.6666666666667,5.401650359904833,1.4730263544898303,1388.46,764.33,462.82,63
16955.0,189,11,94,47.25,3.3921472236645345,1.5032583347756456,348.87,165.88,87.2175,18
15350.0,51,5,51,51.0,2.321928094887362,0.0,115.65,115.65,115.65,5
15605.0,413,49,121,82.6,5.562733897918602,2.2004615143724444,944.5300000000001,270.45,188.906,53
18144.0,271,15,60,24.636363636363637,3.673269689515108,3.333660689688186,912.1500000000001,176.20000000000002,82.92272727272729,25
15922.0,60,7,60,60.0,2.8073549220576046,0.0,202.20000000000002,202.20000000000002,202.20000000000002,7
14594.0,172,40,141,86.0,5.26917434767504,0.9522656254366642,273.28,214.15,136.64000000000001,43
15165.0,147,20,147,147.0,4.321928094887363,0.0,362.7,362.7,362.7,20
16456.0,800,75,216,160.0,6.069235677759421,2.0473124681243386,1407.13,395.2,281.42600000000004,96
17643.0,66,5,66,66.0,2.321928094887362,0.0,58.8,58.8,58.8,5
17873.0,614,21,158,122.8,4.288909765557392,2.31019159868833,1022.86,272.04,204.572,32
17760.0,130,22,74,65.0,4.459431618637295,0.8453509366224365,218.25,115.05,109.125,22
13468.0,1870,148,131,50.54054054054054,6.99716649446193,5.0255454127560855,3743.12,277.07,101.16540540540541,223
16928.0,1393,59,137,81.94117647058823,5.134967436750797,3.8429094015923186,1865.97,183.93,109.76294117647059,180
16048.0,144,8,132,72.0,3.0,0.5435644431995964,256.44,251.40000000000003,128.22000000000003,8
16274.0,141,53,141,141.0,5.727920454563195,0.0,195.45,195.45,195.45,53
14496.0,112,11,64,56.0,3.418295834054489,0.8112781244591328,291.92,152.4,145.96,12
14696.0,1225,101,239,175.0,6.601109161511102,2.786070046707561,1745.24,280.1,249.32,113
16539.0,475,35,301,118.75,4.987729629951763,1.8255645656200883,1372.91,442.34999999999997,343.22749999999996,44
17025.0,127,7,96,42.333333333333336,2.8073549220576046,1.3787834934861756,236.45,196.8,78.81666666666668,7
17690.0,1545,148,289,103.0,7.052064890161426,3.517427277162245,3268.52,509.5,217.90133333333333,198
12947.0,970,72,391,194.0,6.0857465243220945,2.21143913016645,1264.64,373.24,252.92799999999997,85
18229.0,1374,47,124,68.7,5.188755923046491,4.135420364919252,3664.7,314.4,183.23499999999999,106
14142.0,245,19,245,245.0,4.247927513443588,0.0,280.95,280.95,280.95,19
17069.0,1457,100,361,161.88888888888889,6.5222174283465035,2.8379824006142016,2368.4700000000003,501.56,263.1633333333333,130
13065.0,67,9,67,67.0,3.169925001442312,0.0,138.41,138.41,138.41,9
16835.0,55,7,40,27.5,2.8073549220576046,0.9852281360342516,133.15,83.2,66.575,7
15235.0,1298,120,331,108.16666666666667,6.862714832242583,3.2733250630614528,2015.51,513.69,167.95916666666668,130
